item_id,timestamp,target
T10,2009-05-01,7877.0
T10,2009-05-02,2293.0
T10,2009-05-03,2018.0
T10,2009-05-04,6530.0
T10,2009-05-05,6509.0
T10,2009-05-06,6757.0
T10,2009-05-07,6862.0
T10,2009-05-08,7988.0
T10,2009-05-09,2110.0
T10,2009-05-10,1291.0
T10,2009-05-11,7230.0
T10,2009-05-12,6628.0
T10,2009-05-13,6740.0
T10,2009-05-14,6886.0
T10,2009-05-15,6748.0
T10,2009-05-16,1764.0
T10,2009-05-17,2023.0
T10,2009-05-18,6322.0
T10,2009-05-19,6689.0
T10,2009-05-20,6495.0
T10,2009-05-21,6535.0
T10,2009-05-22,7801.0
T10,2009-05-23,2069.0
T10,2009-05-24,1718.0
T10,2009-05-25,5953.0
T10,2009-05-26,6595.0
T10,2009-05-27,6563.0
T10,2009-05-28,6587.0
T10,2009-05-29,7714.0
T10,2009-05-30,2439.0
T10,2009-05-31,2506.0
T10,2009-06-01,6559.0
T10,2009-06-02,6550.0
T10,2009-06-03,8331.0
T10,2009-06-04,6729.0
T10,2009-06-05,6014.0
T10,2009-06-06,2115.0
T10,2009-06-07,2293.0
T10,2009-06-08,1053.0
T10,2009-06-09,5716.0
T10,2009-06-10,5903.0
T10,2009-06-11,6364.0
T10,2009-06-12,7455.0
T10,2009-06-13,2294.0
T10,2009-06-14,1129.0
T10,2009-06-15,6462.0
T10,2009-06-16,6487.0
T10,2009-06-17,6338.0
T10,2009-06-18,6719.0
T10,2009-06-19,7110.0
T10,2009-06-20,2235.0
T10,2009-06-21,1254.0
T10,2009-06-22,6529.0
T10,2009-06-23,6483.0
T10,2009-06-24,6455.0
T10,2009-06-25,6218.0
T10,2009-06-26,6657.0
T10,2009-06-27,1866.0
T10,2009-06-28,1933.0
T10,2009-06-29,6096.0
T10,2009-06-30,6542.0
T10,2009-07-01,6307.0
T10,2009-07-02,6181.0
T10,2009-07-03,5964.0
T10,2009-07-04,2452.0
T10,2009-07-05,2714.0
T10,2009-07-06,5951.0
T10,2009-07-07,6354.0
T10,2009-07-08,6136.0
T10,2009-07-09,6368.0
T10,2009-07-10,7276.0
T10,2009-07-11,2055.0
T10,2009-07-12,1229.0
T10,2009-07-13,6155.0
T10,2009-07-14,6322.0
T10,2009-07-15,6286.0
T10,2009-07-16,6500.0
T10,2009-07-17,7400.0
T10,2009-07-18,2701.0
T10,2009-07-19,2096.0
T10,2009-07-20,6154.0
T10,2009-07-21,6379.0
T10,2009-07-22,6132.0
T10,2009-07-23,6516.0
T10,2009-07-24,6536.0
T10,2009-07-25,2381.0
T10,2009-07-26,1387.0
T10,2009-07-27,6124.0
T10,2009-07-28,6469.0
T10,2009-07-29,6605.0
T10,2009-07-30,6270.0
T10,2009-07-31,7528.0
T10,2009-08-01,2454.0
T10,2009-08-02,1650.0
T10,2009-08-03,6224.0
T10,2009-08-04,6169.0
T10,2009-08-05,6426.0
T10,2009-08-06,6999.0
T10,2009-08-07,6246.0
T10,2009-08-08,2315.0
T10,2009-08-09,1709.0
T10,2009-08-10,6195.0
T10,2009-08-11,6417.0
T10,2009-08-12,6500.0
T10,2009-08-13,6576.0
T10,2009-08-14,6869.0
T10,2009-08-15,2458.0
T10,2009-08-16,2098.0
T10,2009-08-17,6489.0
T10,2009-08-18,6732.0
T10,2009-08-19,6682.0
T10,2009-08-20,6316.0
T10,2009-08-21,7545.0
T10,2009-08-22,2828.0
T10,2009-08-23,2229.0
T10,2009-08-24,6245.0
T10,2009-08-25,6298.0
T10,2009-08-26,6438.0
T10,2009-08-27,6639.0
T10,2009-08-28,6582.0
T10,2009-08-29,2799.0
T10,2009-08-30,2525.0
T10,2009-08-31,6266.0
T10,2009-09-01,6700.0
T10,2009-09-02,6804.0
T10,2009-09-03,7236.0
T10,2009-09-04,6263.0
T10,2009-09-05,1702.0
T10,2009-09-06,1434.0
T10,2009-09-07,6480.0
T10,2009-09-08,6473.0
T10,2009-09-09,6463.0
T10,2009-09-10,6653.0
